ID,IMAGE_NAME,FIELD,COLOR_RGB,H,S,V,BACKGROUND_RGB,BH,BS,BV,CHOSEN_COLOR_NAME,CHOSEN_COLOR_VALUE
1,b_dzienne1\20230319_115402.jpg,1,#D75844,4,174,215,#A5B4CB,108,48,203,o,#ff8000
2,b_dzienne1\20230319_114207.jpg,1,#E65A47,4,176,230,#ADC0D4,105,47,212,o,#ff8000
3,b_dzienne1\20230319_114026.jpg,1,#E95D48,4,176,233,#B3C1D7,108,43,215,o,#ff8000
4,b_dzienne1\20230319_114817.jpg,1,#E45A45,4,178,228,#ABBDD0,105,45,208,o,#ff8000
5,b_dzienne1\20230319_114718.jpg,1,#E55A44,4,179,229,#B2BDD0,109,37,208,o,#ff8000
6,b_dzienne1\20230319_115307.jpg,1,#DA5340,4,180,218,#A3B5C9,106,48,201,o,#ff8000
7,b_dzienne1\20230319_115054.jpg,1,#E15842,4,180,225,#A9BBCF,106,47,207,o,#ff8000
8,b_dzienne1\20230319_115808.jpg,4,#D8553F,4,181,216,#A7B3CA,110,44,202,o,#ff8000
9,b_dzienne1\20230319_120140.jpg,1,#D9533F,4,181,217,#A7B2C9,110,43,201,o,#ff8000
10,b_dzienne1\20230319_115058.jpg,1,#E15841,4,181,225,#A9BAD2,108,50,210,o,#ff8000
11,b_dzienne1\20230319_115455.jpg,1,#D8513E,4,182,216,#A2B0C6,108,46,198,o,#ff8000
12,b_dzienne1\20230319_115549.jpg,1,#DA513E,4,182,218,#A3B4C9,107,48,201,o,#ff8000
13,b_dzienne1\20230319_115716.jpg,1,#DA553E,4,182,218,#A5B4CB,108,48,203,o,#ff8000
14,b_dzienne1\20230319_115504.jpg,1,#DB523F,4,182,219,#A9B1C7,112,38,199,o,#ff8000
15,b_dzienne1\20230319_115316.jpg,1,#DC553F,4,182,220,#AAB5CA,110,40,202,o,#ff8000
16,b_dzienne1\20230319_115643.jpg,7,#CD4F3A,4,183,205,#A2B1CB,109,52,203,o,#ff8000
17,b_dzienne1\20230319_120431.jpg,1,#D8533D,4,183,216,#A6AFC6,112,41,198,o,#ff8000
18,b_dzienne1\20230319_115629.jpg,4,#D9543D,4,183,217,#A7B3CB,110,45,203,o,#ff8000
19,b_dzienne1\20230319_120134.jpg,4,#D9533D,4,183,217,#A0B6CB,105,54,203,o,#ff8000
20,b_dzienne1\20230319_115636.jpg,1,#DB513E,4,183,219,#A6B4CA,108,45,202,o,#ff8000
21,b_dzienne1\20230319_115711.jpg,1,#DB523E,4,183,219,#A7B4C9,109,43,201,o,#ff8000
22,b_dzienne1\20230319_115944.jpg,1,#D64F3C,4,184,214,#A0AEC7,109,50,199,o,#ff8000
23,b_dzienne1\20230319_120036.jpg,1,#D7503C,4,184,215,#A4AEC6,111,44,198,o,#ff8000
24,b_dzienne1\20230319_115757.jpg,1,#DC523D,4,184,220,#A9B2C8,111,40,200,o,#ff8000
25,b_dzienne1\20230319_115304.jpg,1,#D7503B,4,185,215,#9EB0C4,106,49,196,o,#ff8000
26,b_dzienne1\20230319_114116.jpg,7,#E2543E,4,185,226,#B1C1D8,108,46,216,o,#ff8000
27,b_dzienne1\20230319_120124.jpg,1,#D44D39,4,186,212,#9FABC1,109,45,193,o,#ff8000
28,b_dzienne1\20230319_120131.jpg,1,#D5503A,4,186,213,#9EADC2,107,47,194,o,#ff8000
29,b_dzienne1\20230319_115725.jpg,4,#D6503A,4,186,214,#A6AFC8,112,43,200,o,#ff8000
30,b_dzienne1\20230319_114102.jpg,7,#E2543D,4,186,226,#B2C2D8,107,45,216,o,#ff8000
31,b_dzienne1\20230319_120050.jpg,4,#D8503A,4,187,216,#A2B4CA,107,50,202,o,#ff8000
32,b_dzienne1\20230319_113709.jpg,3,#DB513A,4,187,219,#B3C5DE,107,49,222,o,#ff8000
33,b_dzienne1\20230319_113828.jpg,3,#DA5139,4,188,218,#AFC3D8,105,48,216,o,#ff8000
34,b_dzienne1\20230319_115716.jpg,7,#D04B36,4,189,208,#A5B4CB,108,48,203,o,#ff8000
35,b_dzienne1\20230319_115413.jpg,7,#CD4834,4,190,205,#A2AEC8,111,48,200,o,#ff8000
36,b_dzienne1\20230319_113834.jpg,9,#D64C35,4,192,214,#AFC1DC,108,52,220,o,#ff8000
37,b_dzienne1\20230319_115846.jpg,7,#C84531,4,193,200,#9DAAC3,110,50,195,o,#ff8000
38,b_dzienne1\20230319_115805.jpg,7,#CC4632,4,193,204,#9FACC5,110,49,197,o,#ff8000
39,b_dzienne1\20230319_113709.jpg,9,#D54B33,4,194,213,#B3C5DE,107,49,222,o,#ff8000
40,b_dzienne1\20230319_120036.jpg,7,#D0452F,4,197,208,#A4AEC6,111,44,198,o,#ff8000
41,b_dzienne1\20230319_120427.jpg,9,#C13F29,4,201,193,#A5B4CC,108,49,204,o,#ff8000
42,b_dzienne1\20230319_115413.jpg,3,#C23D29,4,201,194,#A2AEC8,111,48,200,o,#ff8000
43,b_dzienne1\20230319_115846.jpg,3,#BF3B25,4,206,191,#9DAAC3,110,50,195,o,#ff8000
44,b_dzienne1\20230319_113932.jpg,1,#E6654C,5,171,230,#B4C1D8,109,43,216,o,#ff8000
45,b_dzienne1\20230319_114203.jpg,1,#E46149,5,173,228,#B2BFD3,108,40,211,o,#ff8000
46,b_dzienne1\20230319_113714.jpg,1,#E96149,5,175,233,#B8C4DC,110,42,220,o,#ff8000
47,b_dzienne1\20230319_115051.jpg,1,#DE5E45,5,176,222,#A9BACF,107,47,207,o,#ff8000
48,b_dzienne1\20230319_114706.jpg,4,#E05E44,5,178,224,#A7BED2,104,52,210,o,#ff8000
49,b_dzienne1\20230319_113913.jpg,4,#E66045,5,178,230,#ADC3DA,105,53,218,o,#ff8000
50,b_dzienne1\20230319_115457.jpg,4,#D75740,5,179,215,#A4B5CB,107,49,203,o,#ff8000
51,b_dzienne1\20230319_115937.jpg,1,#D75740,5,179,215,#AAB0C6,114,36,198,o,#ff8000
52,b_dzienne1\20230319_120339.jpg,1,#D5563E,5,181,213,#A4B0C5,109,43,197,o,#ff8000
53,b_dzienne1\20230319_115008.jpg,1,#E15941,5,181,225,#AABACC,106,43,204,o,#ff8000
54,b_dzienne1\20230319_120417.jpg,4,#D4553D,5,182,212,#A0B0C6,107,49,198,o,#ff8000
55,b_dzienne1\20230319_113819.jpg,7,#DD5A3F,5,182,221,#B1C3DA,107,48,218,o,#ff8000
56,b_dzienne1\20230319_114951.jpg,4,#E0583F,5,183,224,#ACBBD1,108,45,209,o,#ff8000
57,b_dzienne1\20230319_114108.jpg,4,#E65F41,5,183,230,#AFC2D7,106,47,215,o,#ff8000
58,b_dzienne1\20230319_113706.jpg,3,#D7543C,5,184,215,#B0C1DA,108,49,218,o,#ff8000
59,b_dzienne1\20230319_115102.jpg,4,#E0573E,5,184,224,#A6BBCF,105,51,207,o,#ff8000
60,b_dzienne1\20230319_114801.jpg,4,#E25A3F,5,184,226,#B1BCD3,110,41,211,o,#ff8000
61,b_dzienne1\20230319_115451.jpg,7,#C84E37,5,185,200,#9FB1C7,107,51,199,o,#ff8000
62,b_dzienne1\20230319_113924.jpg,3,#D6543B,5,185,214,#B0C2DA,107,49,218,o,#ff8000
63,b_dzienne1\20230319_114958.jpg,4,#DE5A3D,5,185,222,#AABACF,107,46,207,o,#ff8000
64,b_dzienne1\20230319_114203.jpg,4,#E45B3F,5,185,228,#B2BFD3,108,40,211,o,#ff8000
65,b_dzienne1\20230319_115953.jpg,4,#D5543A,5,186,213,#A0B3C6,105,49,198,o,#ff8000
66,b_dzienne1\20230319_113913.jpg,7,#E0593D,5,186,224,#ADC3DA,105,53,218,o,#ff8000
67,b_dzienne1\20230319_114710.jpg,4,#E3593D,5,186,227,#ADBDCF,106,42,207,o,#ff8000
68,b_dzienne1\20230319_114116.jpg,3,#D65339,5,187,214,#B1C1D8,108,46,216,o,#ff8000
69,b_dzienne1\20230319_114951.jpg,7,#D95439,5,188,217,#ACBBD1,108,45,209,o,#ff8000
70,b_dzienne1\20230319_114954.jpg,4,#E1573B,5,188,225,#A9BBCF,106,47,207,o,#ff8000
71,b_dzienne1\20230319_114011.jpg,7,#E2573B,5,188,226,#B3C1D7,108,43,215,o,#ff8000
72,b_dzienne1\20230319_120137.jpg,7,#CA4E34,5,189,202,#9FB2C8,106,52,200,o,#ff8000
73,b_dzienne1\20230319_120339.jpg,4,#D65137,5,189,214,#A4B0C5,109,43,197,o,#ff8000
74,b_dzienne1\20230319_114102.jpg,3,#D75338,5,189,215,#B2C2D8,107,45,216,o,#ff8000
75,b_dzienne1\20230319_115949.jpg,4,#D85238,5,189,216,#A6B1C9,111,44,201,o,#ff8000
76,b_dzienne1\20230319_113928.jpg,5,#DD5739,5,189,221,#ACC3DA,105,54,218,o,#ff8000
77,b_dzienne1\20230319_114030.jpg,2,#E0583A,5,189,224,#ADC2D3,103,46,211,o,#ff8000
78,b_dzienne1\20230319_113913.jpg,5,#DE5739,5,190,222,#ADC3DA,105,53,218,o,#ff8000
79,b_dzienne1\20230319_113706.jpg,6,#D65136,5,191,214,#B0C1DA,108,49,218,o,#ff8000
