ID,IMAGE_NAME,FIELD,COLOR_RGB,H,S,V,BACKGROUND_RGB,BH,BS,BV,CHOSEN_COLOR_NAME,CHOSEN_COLOR_VALUE
1,b_lampa1\20230321_184644.jpg,1,#A01715,0,222,160,#EABB95,13,93,234,r,#ff0000
2,b_lampa1\20230321_184644.jpg,3,#A01517,0,222,160,#EABB95,13,93,234,r,#ff0000
3,b_lampa1\20230321_185202.jpg,1,#981413,0,223,152,#E6B18A,13,102,230,r,#ff0000
4,b_lampa1\20230321_185034.jpg,3,#991313,0,223,153,#E6B38B,13,101,230,r,#ff0000
5,b_lampa1\20230321_184725.jpg,3,#9D1614,0,223,157,#E8BA90,14,97,232,r,#ff0000
6,b_lampa1\20230321_184611.jpg,3,#9F1614,0,223,159,#EBBB91,14,98,235,r,#ff0000
7,b_lampa1\20230321_184712.jpg,3,#9F1514,0,223,159,#ECB991,13,98,236,r,#ff0000
8,b_lampa1\20230321_184817.jpg,3,#9B1513,0,224,155,#E9B792,13,95,233,r,#ff0000
9,b_lampa1\20230321_184732.jpg,3,#9C1513,0,224,156,#E9BA91,14,96,233,r,#ff0000
10,b_lampa1\20230321_185121.jpg,3,#971213,0,225,151,#E5B38C,13,99,229,r,#ff0000
11,b_lampa1\20230321_184905.jpg,3,#991312,0,225,153,#EAB48C,13,102,234,r,#ff0000
12,b_lampa1\20230321_185522.jpg,1,#9B1412,0,225,155,#E9B68E,13,100,233,r,#ff0000
13,b_lampa1\20230321_185855.jpg,3,#961112,0,226,150,#E3B18D,13,97,227,r,#ff0000
14,b_lampa1\20230321_185636.jpg,3,#971311,0,226,151,#E5B18B,13,100,229,r,#ff0000
15,b_lampa1\20230321_184644.jpg,6,#981211,0,226,152,#EABB95,13,93,234,r,#ff0000
16,b_lampa1\20230321_184819.jpg,4,#941110,0,227,148,#E8B792,13,95,232,r,#ff0000
17,b_lampa1\20230321_184845.jpg,3,#9B1211,0,227,155,#E9B48A,13,104,233,r,#ff0000
18,b_lampa1\20230321_185516.jpg,3,#9B1211,0,227,155,#EAB48C,13,102,234,r,#ff0000
19,b_lampa1\20230321_184901.jpg,2,#9A1110,0,228,154,#E7B48E,13,98,231,r,#ff0000
20,b_lampa1\20230321_184712.jpg,2,#9E1311,0,228,158,#ECB991,13,98,236,r,#ff0000
