ID,IMAGE_NAME,FIELD,COLOR_RGB,H,S,V,BACKGROUND_RGB,BH,BS,BV,CHOSEN_COLOR_NAME,CHOSEN_COLOR_VALUE
1,b_rolety1\20230319_123441.jpg,7,#860E07,2,242,134,#D68B52,13,157,214,r,#ff0000
2,b_rolety1\20230319_123412.jpg,7,#8B1007,2,242,139,#D98C51,13,160,217,r,#ff0000
3,b_rolety1\20230319_123544.jpg,7,#8D1107,2,242,141,#D88B4F,13,162,216,r,#ff0000
4,b_rolety1\20230319_123150.jpg,9,#840D06,2,243,132,#E19155,13,159,225,r,#ff0000
5,b_rolety1\20230319_122948.jpg,7,#880E06,2,244,136,#DA8C53,13,158,218,r,#ff0000
6,b_rolety1\20230319_123441.jpg,2,#880E06,2,244,136,#D68B52,13,157,214,r,#ff0000
7,b_rolety1\20230319_123555.jpg,6,#880F06,2,244,136,#DA8A50,13,161,218,r,#ff0000
8,b_rolety1\20230319_123159.jpg,6,#890F06,2,244,137,#DF9051,13,162,223,r,#ff0000
9,b_rolety1\20230319_123557.jpg,6,#890F06,2,244,137,#DF8D4D,13,167,223,r,#ff0000
10,b_rolety1\20230319_122812.jpg,3,#8A0F06,2,244,138,#DC9053,13,159,220,r,#ff0000
11,b_rolety1\20230319_123450.jpg,3,#8A0F06,2,244,138,#DC8E55,13,156,220,r,#ff0000
12,b_rolety1\20230319_123404.jpg,7,#8B0F06,2,244,139,#D98C4E,13,163,217,r,#ff0000
13,b_rolety1\20230319_123438.jpg,7,#8C1006,2,244,140,#DC8D52,13,160,220,r,#ff0000
14,b_rolety1\20230319_123150.jpg,3,#8D1006,2,244,141,#E19155,13,159,225,r,#ff0000
15,b_rolety1\20230319_123441.jpg,4,#8E1106,2,244,142,#D68B52,13,157,214,r,#ff0000
16,b_rolety1\20230319_122924.jpg,7,#8F1106,2,244,143,#DF9251,14,162,223,r,#ff0000
17,b_rolety1\20230319_123516.jpg,6,#7F0E05,2,245,127,#D6894F,13,161,214,r,#ff0000
18,b_rolety1\20230319_123555.jpg,9,#810D05,2,245,129,#DA8A50,13,161,218,r,#ff0000
19,b_rolety1\20230319_123159.jpg,9,#820D05,2,245,130,#DF9051,13,162,223,r,#ff0000
20,b_rolety1\20230319_123432.jpg,7,#820D05,2,245,130,#D2844B,13,164,210,r,#ff0000
21,b_rolety1\20230319_122715.jpg,9,#830D05,2,245,131,#DD8F53,13,159,221,r,#ff0000
22,b_rolety1\20230319_121936.jpg,6,#850D05,2,245,133,#DA8D53,13,158,218,r,#ff0000
23,b_rolety1\20230319_123343.jpg,6,#860E05,2,245,134,#DD8E4D,14,166,221,r,#ff0000
24,b_rolety1\20230319_123441.jpg,5,#860E05,2,245,134,#D68B52,13,157,214,r,#ff0000
25,b_rolety1\20230319_122818.jpg,8,#880E05,2,246,136,#DA8E4F,14,163,218,r,#ff0000
26,b_rolety1\20230319_122941.jpg,7,#880E05,2,246,136,#DA8D4C,14,166,218,r,#ff0000
27,b_rolety1\20230319_123542.jpg,3,#880E05,2,246,136,#D98B51,13,160,217,r,#ff0000
28,b_rolety1\20230319_123608.jpg,7,#880E05,2,246,136,#D68249,12,168,214,r,#ff0000
29,b_rolety1\20230319_121747.jpg,7,#890E05,2,246,137,#D88B50,13,161,216,r,#ff0000
30,b_rolety1\20230319_122818.jpg,6,#890F05,2,246,137,#DA8E4F,14,163,218,r,#ff0000
31,b_rolety1\20230319_123537.jpg,3,#890E05,2,246,137,#DB8B4F,13,163,219,r,#ff0000
32,b_rolety1\20230319_123544.jpg,3,#890F05,2,246,137,#D88B4F,13,162,216,r,#ff0000
33,b_rolety1\20230319_122123.jpg,7,#8A0E05,2,246,138,#DA8A53,12,158,218,r,#ff0000
34,b_rolety1\20230319_123122.jpg,2,#8A0E05,2,246,138,#DA8C53,13,158,218,r,#ff0000
35,b_rolety1\20230319_121936.jpg,7,#8D0F05,2,246,141,#DA8D53,13,158,218,r,#ff0000
36,b_rolety1\20230319_121917.jpg,7,#8E1005,2,246,142,#DE8F56,13,156,222,r,#ff0000
37,b_rolety1\20230319_123050.jpg,7,#8E1005,2,246,142,#DE9053,13,160,222,r,#ff0000
38,b_rolety1\20230319_122715.jpg,7,#911005,2,246,145,#DD8F53,13,159,221,r,#ff0000
39,b_rolety1\20230319_123359.jpg,2,#931005,2,246,147,#DF9055,13,158,223,r,#ff0000
40,b_rolety1\20230319_123504.jpg,9,#780C04,2,247,120,#D78B50,13,160,215,r,#ff0000
41,b_rolety1\20230319_123239.jpg,9,#7A0C04,2,247,122,#D88A51,13,159,216,r,#ff0000
42,b_rolety1\20230319_123523.jpg,9,#7C0C04,2,247,124,#DB8B4B,13,168,219,r,#ff0000
43,b_rolety1\20230319_123002.jpg,9,#7D0B04,2,247,125,#DD8D4D,13,166,221,r,#ff0000
44,b_rolety1\20230319_123526.jpg,9,#7F0C04,2,247,127,#DA8A4D,13,165,218,r,#ff0000
45,b_rolety1\20230319_123030.jpg,6,#810D04,2,247,129,#DA8C51,13,160,218,r,#ff0000
46,b_rolety1\20230319_123619.jpg,3,#810D04,2,247,129,#D4824B,12,165,212,r,#ff0000
47,b_rolety1\20230319_122845.jpg,3,#820D04,2,247,130,#D4864D,13,162,212,r,#ff0000
48,b_rolety1\20230319_123050.jpg,9,#820C04,2,247,130,#DE9053,13,160,222,r,#ff0000
49,b_rolety1\20230319_123204.jpg,6,#820C04,2,247,130,#D8844F,12,162,216,r,#ff0000
50,b_rolety1\20230319_121954.jpg,9,#830C04,2,247,131,#DF9150,14,164,223,r,#ff0000
51,b_rolety1\20230319_121636.jpg,9,#840C04,2,247,132,#DF8F53,13,160,223,r,#ff0000
52,b_rolety1\20230319_122529.jpg,6,#840D04,2,247,132,#D88749,13,169,216,r,#ff0000
53,b_rolety1\20230319_123624.jpg,7,#840E04,2,247,132,#D28546,14,170,210,r,#ff0000
54,b_rolety1\20230319_121446.jpg,6,#850D04,2,247,133,#DA8B4F,13,163,218,r,#ff0000
55,b_rolety1\20230319_122018.jpg,6,#850D04,2,247,133,#DD8D51,13,162,221,r,#ff0000
56,b_rolety1\20230319_122628.jpg,7,#850D04,2,247,133,#D28248,13,168,210,r,#ff0000
57,b_rolety1\20230319_123035.jpg,9,#850D04,2,247,133,#E29251,13,164,226,r,#ff0000
58,b_rolety1\20230319_123343.jpg,8,#850D04,2,247,133,#DD8E4D,14,166,221,r,#ff0000
59,b_rolety1\20230319_123518.jpg,3,#850D04,2,247,133,#D7854D,12,164,215,r,#ff0000
