ID,IMAGE_NAME,FIELD,COLOR_RGB,H,S,V,BACKGROUND_RGB,BH,BS,BV,CHOSEN_COLOR_NAME,CHOSEN_COLOR_VALUE
1,bulb2250_dark20\20230514_000858.jpg,9,#3E0200,1,255,62,#A05023,11,199,160,r,#ff0000
2,bulb2250_dark20\20230514_001001.jpg,8,#3E0200,1,255,62,#A24F24,10,198,162,r,#ff0000
3,bulb2250_dark20\20230514_001039.jpg,9,#3E0200,1,255,62,#A25021,11,203,162,r,#ff0000
4,bulb2250_dark20\20230514_001255.jpg,8,#3E0200,1,255,62,#A15023,11,200,161,r,#ff0000
5,bulb2250_dark20\20230514_001255.jpg,9,#3E0200,1,255,62,#A15023,11,200,161,r,#ff0000
6,bulb2250_dark20\20230514_001358.jpg,8,#3E0200,1,255,62,#A15021,11,203,161,r,#ff0000
7,bulb2250_dark20\20230514_000715.jpg,9,#3F0200,1,255,63,#A34F23,10,200,163,r,#ff0000
8,bulb2250_dark20\20230514_000753.jpg,9,#3F0200,1,255,63,#A24F23,10,200,162,r,#ff0000
9,bulb2250_dark20\20230514_000842.jpg,8,#3F0200,1,255,63,#A34F22,10,202,163,r,#ff0000
10,bulb2250_dark20\20230514_000847.jpg,8,#3F0200,1,255,63,#A34F20,11,205,163,r,#ff0000
11,bulb2250_dark20\20230514_000919.jpg,9,#3F0200,1,255,63,#A24F25,10,197,162,r,#ff0000
12,bulb2250_dark20\20230514_000926.jpg,9,#3F0200,1,255,63,#A24F24,10,198,162,r,#ff0000
13,bulb2250_dark20\20230514_000938.jpg,7,#3F0200,1,255,63,#A34F22,10,202,163,r,#ff0000
14,bulb2250_dark20\20230514_000959.jpg,9,#3F0200,1,255,63,#A14F24,10,198,161,r,#ff0000
15,bulb2250_dark20\20230514_001001.jpg,7,#3F0200,1,255,63,#A24F24,10,198,162,r,#ff0000
16,bulb2250_dark20\20230514_001040.jpg,8,#3F0200,1,255,63,#A34F21,11,203,163,r,#ff0000
17,bulb2250_dark20\20230514_001040.jpg,9,#3F0200,1,255,63,#A34F21,11,203,163,r,#ff0000
18,bulb2250_dark20\20230514_001140.jpg,9,#3F0200,1,255,63,#A14F23,10,200,161,r,#ff0000
19,bulb2250_dark20\20230514_001204.jpg,7,#3F0200,1,255,63,#A34F22,10,202,163,r,#ff0000
20,bulb2250_dark20\20230514_001213.jpg,7,#3F0200,1,255,63,#A34F21,11,203,163,r,#ff0000
21,bulb2250_dark20\20230514_001214.jpg,8,#3F0200,1,255,63,#A24F22,11,201,162,r,#ff0000
22,bulb2250_dark20\20230514_001232.jpg,9,#3F0200,1,255,63,#A24F23,10,200,162,r,#ff0000
23,bulb2250_dark20\20230514_001234.jpg,7,#3F0200,1,255,63,#A44F21,11,204,164,r,#ff0000
24,bulb2250_dark20\20230514_001236.jpg,8,#3F0200,1,255,63,#A34F23,10,200,163,r,#ff0000
25,bulb2250_dark20\20230514_001322.jpg,8,#3F0200,1,255,63,#A34F24,10,199,163,r,#ff0000
26,bulb2250_dark20\20230514_001450.jpg,9,#3F0200,1,255,63,#A14F24,10,198,161,r,#ff0000
27,bulb2250_dark20\20230514_001508.jpg,8,#3F0200,1,255,63,#A34F20,11,205,163,r,#ff0000
28,bulb2250_dark20\20230514_001510.jpg,8,#3F0200,1,255,63,#A24F23,10,200,162,r,#ff0000
29,bulb2250_dark20\20230514_001518.jpg,8,#3F0200,1,255,63,#A15023,11,200,161,r,#ff0000
30,bulb2250_dark20\20230514_001544.jpg,7,#3F0200,1,255,63,#A34F21,11,203,163,r,#ff0000
31,bulb2250_dark20\20230514_001601.jpg,8,#3F0200,1,255,63,#A14F23,10,200,161,r,#ff0000
32,bulb2250_dark20\20230514_001604.jpg,7,#3F0200,1,255,63,#A24F23,10,200,162,r,#ff0000
33,bulb2250_dark20\20230514_001608.jpg,9,#3F0200,1,255,63,#A24F23,10,200,162,r,#ff0000
34,bulb2250_dark20\20230514_000812.jpg,9,#400200,1,255,64,#A15023,11,200,161,r,#ff0000
35,bulb2250_dark20\20230514_000818.jpg,9,#400200,1,255,64,#A34F22,10,202,163,r,#ff0000
36,bulb2250_dark20\20230514_000842.jpg,9,#400200,1,255,64,#A34F22,10,202,163,r,#ff0000
37,bulb2250_dark20\20230514_000917.jpg,8,#400200,1,255,64,#A54E23,10,201,165,r,#ff0000
38,bulb2250_dark20\20230514_001016.jpg,8,#400200,1,255,64,#A24F24,10,198,162,r,#ff0000
39,bulb2250_dark20\20230514_001025.jpg,7,#400200,1,255,64,#A24F24,10,198,162,r,#ff0000
40,bulb2250_dark20\20230514_001136.jpg,7,#400200,1,255,64,#A24F23,10,200,162,r,#ff0000
41,bulb2250_dark20\20230514_001138.jpg,8,#400200,1,255,64,#A24F23,10,200,162,r,#ff0000
42,bulb2250_dark20\20230514_001159.jpg,9,#400200,1,255,64,#A24F22,11,201,162,r,#ff0000
43,bulb2250_dark20\20230514_001214.jpg,7,#400200,1,255,64,#A24F22,11,201,162,r,#ff0000
44,bulb2250_dark20\20230514_001222.jpg,8,#400200,1,255,64,#A24F25,10,197,162,r,#ff0000
45,bulb2250_dark20\20230514_001244.jpg,9,#400200,1,255,64,#A15021,11,203,161,r,#ff0000
46,bulb2250_dark20\20230514_001330.jpg,9,#400200,1,255,64,#A34F23,10,200,163,r,#ff0000
47,bulb2250_dark20\20230514_001358.jpg,9,#400200,1,255,64,#A15021,11,203,161,r,#ff0000
48,bulb2250_dark20\20230514_001405.jpg,9,#400200,1,255,64,#A44F22,10,202,164,r,#ff0000
49,bulb2250_dark20\20230514_001417.jpg,7,#400200,1,255,64,#A25023,11,200,162,r,#ff0000
50,bulb2250_dark20\20230514_001433.jpg,8,#400200,1,255,64,#A25023,11,200,162,r,#ff0000
51,bulb2250_dark20\20230514_001433.jpg,9,#400200,1,255,64,#A25023,11,200,162,r,#ff0000
52,bulb2250_dark20\20230514_001505.jpg,8,#400200,1,255,64,#A24F24,10,198,162,r,#ff0000
53,bulb2250_dark20\20230514_001520.jpg,7,#400200,1,255,64,#A44F21,11,204,164,r,#ff0000
54,bulb2250_dark20\20230514_001522.jpg,7,#400200,1,255,64,#A24F21,11,203,162,r,#ff0000
55,bulb2250_dark20\20230514_001540.jpg,7,#400200,1,255,64,#A34F21,11,203,163,r,#ff0000
56,bulb2250_dark20\20230514_001544.jpg,8,#400200,1,255,64,#A34F21,11,203,163,r,#ff0000
57,bulb2250_dark20\20230514_001557.jpg,7,#400200,1,255,64,#A15022,11,201,161,r,#ff0000
58,bulb2250_dark20\20230514_001557.jpg,8,#400200,1,255,64,#A15022,11,201,161,r,#ff0000
59,bulb2250_dark20\20230514_000838.jpg,7,#410200,1,255,65,#A34F23,10,200,163,r,#ff0000
60,bulb2250_dark20\20230514_000957.jpg,8,#410200,1,255,65,#A14F23,10,200,161,r,#ff0000
61,bulb2250_dark20\20230514_001021.jpg,9,#410200,1,255,65,#A44F23,10,201,164,r,#ff0000
62,bulb2250_dark20\20230514_001031.jpg,9,#410200,1,255,65,#A34F22,10,202,163,r,#ff0000
63,bulb2250_dark20\20230514_001305.jpg,7,#410200,1,255,65,#A34F24,10,199,163,r,#ff0000
64,bulb2250_dark20\20230514_001305.jpg,8,#410200,1,255,65,#A34F24,10,199,163,r,#ff0000
65,bulb2250_dark20\20230514_001328.jpg,8,#410200,1,255,65,#A54E24,10,199,165,r,#ff0000
