ID,IMAGE_NAME,FIELD,COLOR_RGB,H,S,V,BACKGROUND_RGB,BH,BS,BV,CHOSEN_COLOR_NAME,CHOSEN_COLOR_VALUE
1,t_bulb3800_dark00\20230510_221628.jpg,1,#8E0E0E,0,230,142,#DCD9D4,19,9,220,r,#ff0000
2,t_bulb3800_dark00\20230510_221701.jpg,1,#8F0E0F,0,230,143,#DBD9D5,20,7,219,r,#ff0000
3,t_bulb3800_dark00\20230510_221711.jpg,4,#880D0F,0,231,136,#DCD9D4,19,9,220,r,#ff0000
4,t_bulb3800_dark00\20230510_221653.jpg,4,#870C0E,0,232,135,#DAD9D5,24,6,218,r,#ff0000
5,t_bulb3800_dark00\20230510_221628.jpg,4,#880C0C,0,233,136,#DCD9D4,19,9,220,r,#ff0000
6,t_bulb3800_dark00\20230510_221622.jpg,6,#870B0B,0,234,135,#DAD9D5,24,6,218,r,#ff0000
7,t_bulb3800_dark00\20230510_221638.jpg,6,#870B0B,0,234,135,#D9D9D3,30,7,217,r,#ff0000
8,t_bulb3800_dark00\20230510_221655.jpg,6,#880B0C,0,234,136,#DBD9D6,18,6,219,r,#ff0000
9,t_bulb3800_dark00\20230510_221711.jpg,6,#880B0B,0,234,136,#DCD9D4,19,9,220,r,#ff0000
10,t_bulb3800_dark00\20230510_221643.jpg,1,#910D0C,0,234,145,#DDD8D2,16,13,221,r,#ff0000
11,t_bulb3800_dark00\20230510_221624.jpg,3,#920D0C,0,234,146,#DAD9D5,24,6,218,r,#ff0000
12,t_bulb3800_dark00\20230510_221641.jpg,6,#890C0B,0,235,137,#DCD9D4,19,9,220,r,#ff0000
13,t_bulb3800_dark00\20230510_221719.jpg,6,#880B0A,0,236,136,#DBD9D3,23,9,219,r,#ff0000
14,t_bulb3800_dark00\20230510_221741.jpg,4,#880B0A,0,236,136,#D8D7D3,24,6,216,r,#ff0000
15,t_bulb3800_dark00\20230510_221632.jpg,6,#890B0A,0,236,137,#DBD9D4,21,8,219,r,#ff0000
16,t_bulb3800_dark00\20230510_221701.jpg,7,#7E0909,0,237,126,#DBD9D5,20,7,219,r,#ff0000
17,t_bulb3800_dark00\20230510_221653.jpg,3,#900C0A,0,237,144,#DAD9D5,24,6,218,r,#ff0000
18,t_bulb3800_dark00\20230510_221638.jpg,7,#770908,0,238,119,#D9D9D3,30,7,217,r,#ff0000
19,t_bulb3800_dark00\20230510_221647.jpg,7,#7B0808,0,238,123,#DCD9D5,17,8,220,r,#ff0000
20,t_bulb3800_dark00\20230510_221715.jpg,5,#870B09,0,238,135,#DED8D2,15,14,222,r,#ff0000
21,t_bulb3800_dark00\20230510_221630.jpg,3,#920C0A,0,238,146,#DCD9D5,17,8,220,r,#ff0000
22,t_bulb3800_dark00\20230510_221713.jpg,7,#7E0908,0,239,126,#DCD9D3,20,10,220,r,#ff0000
23,t_bulb3800_dark00\20230510_221747.jpg,5,#840A08,0,240,132,#D9D7D3,20,7,217,r,#ff0000
24,t_bulb3800_dark00\20230510_221624.jpg,9,#780706,0,242,120,#DAD9D5,24,6,218,r,#ff0000
25,t_bulb3800_dark00\20230510_221713.jpg,3,#910D0A,1,237,145,#DCD9D3,20,10,220,r,#ff0000
26,t_bulb3800_dark00\20230510_221741.jpg,6,#880B08,1,240,136,#D8D7D3,24,6,216,r,#ff0000
27,t_bulb3800_dark00\20230510_221658.jpg,6,#890B08,1,240,137,#DED8D0,17,16,222,r,#ff0000
28,t_bulb3800_dark00\20230510_221626.jpg,2,#8F0C08,1,241,143,#DBD9D4,21,8,219,r,#ff0000
29,t_bulb3800_dark00\20230510_221709.jpg,2,#8F0C08,1,241,143,#DCD9D3,20,10,220,r,#ff0000
30,t_bulb3800_dark00\20230510_221643.jpg,3,#900C08,1,241,144,#DDD8D2,16,13,221,r,#ff0000
31,t_bulb3800_dark00\20230510_221745.jpg,7,#760806,1,242,118,#D9D7D0,23,11,217,r,#ff0000
32,t_bulb3800_dark00\20230510_221748.jpg,6,#850A07,1,242,133,#DAD6D0,18,12,218,r,#ff0000
33,t_bulb3800_dark00\20230510_221624.jpg,5,#860A07,1,242,134,#DAD9D5,24,6,218,r,#ff0000
34,t_bulb3800_dark00\20230510_221748.jpg,7,#7B0806,1,243,123,#DAD6D0,18,12,218,r,#ff0000
35,t_bulb3800_dark00\20230510_221715.jpg,7,#7C0806,1,243,124,#DED8D2,15,14,222,r,#ff0000
36,t_bulb3800_dark00\20230510_221700.jpg,8,#7D0806,1,243,125,#DBD9D6,18,6,219,r,#ff0000
37,t_bulb3800_dark00\20230510_221643.jpg,2,#8F0B07,1,243,143,#DDD8D2,16,13,221,r,#ff0000
38,t_bulb3800_dark00\20230510_221741.jpg,7,#790805,1,244,121,#D8D7D3,24,6,216,r,#ff0000
39,t_bulb3800_dark00\20230510_221643.jpg,5,#870B06,1,244,135,#DDD8D2,16,13,221,r,#ff0000
40,t_bulb3800_dark00\20230510_221658.jpg,5,#870B06,1,244,135,#DED8D0,17,16,222,r,#ff0000
41,t_bulb3800_dark00\20230510_221647.jpg,8,#7A0704,1,247,122,#DCD9D5,17,8,220,r,#ff0000
42,t_bulb3800_dark00\20230510_221709.jpg,9,#7A0804,1,247,122,#DCD9D3,20,10,220,r,#ff0000
43,t_bulb3800_dark00\20230510_221743.jpg,8,#7A0704,1,247,122,#D8D7D3,24,6,216,r,#ff0000
44,t_bulb3800_dark00\20230510_221748.jpg,9,#7A0803,1,249,122,#DAD6D0,18,12,218,r,#ff0000
45,t_bulb3800_dark00\20230510_221658.jpg,9,#7D0802,1,251,125,#DED8D0,17,16,222,r,#ff0000
46,t_bulb3800_dark00\20230510_221747.jpg,7,#CF593A,6,184,207,#D9D7D3,20,7,217,o,#ff8000
47,t_bulb3800_dark00\20230510_221647.jpg,9,#D35A3A,6,185,211,#DCD9D5,17,8,220,o,#ff8000
48,t_bulb3800_dark00\20230510_221630.jpg,7,#D35A39,6,186,211,#DCD9D5,17,8,220,o,#ff8000
49,t_bulb3800_dark00\20230510_221622.jpg,1,#E36946,7,176,227,#DAD9D5,24,6,218,o,#ff8000
50,t_bulb3800_dark00\20230510_221717.jpg,6,#DB6842,7,178,219,#DBD9D5,20,7,219,o,#ff8000
51,t_bulb3800_dark00\20230510_221700.jpg,6,#DD6543,7,178,221,#DBD9D6,18,6,219,o,#ff8000
52,t_bulb3800_dark00\20230510_221739.jpg,3,#DD6543,7,178,221,#D9D6D3,15,7,217,o,#ff8000
53,t_bulb3800_dark00\20230510_221711.jpg,1,#DF6743,7,178,223,#DCD9D4,19,9,220,o,#ff8000
54,t_bulb3800_dark00\20230510_221747.jpg,6,#DA6441,7,179,218,#D9D7D3,20,7,217,o,#ff8000
55,t_bulb3800_dark00\20230510_221647.jpg,3,#E46A44,7,179,228,#DCD9D5,17,8,220,o,#ff8000
56,t_bulb3800_dark00\20230510_221647.jpg,6,#DE6440,7,181,222,#DCD9D5,17,8,220,o,#ff8000
57,t_bulb3800_dark00\20230510_221739.jpg,1,#E16741,7,181,225,#D9D6D3,15,7,217,o,#ff8000
58,t_bulb3800_dark00\20230510_221709.jpg,1,#E36942,7,181,227,#DCD9D3,20,10,220,o,#ff8000
59,t_bulb3800_dark00\20230510_221647.jpg,5,#D9633E,7,182,217,#DCD9D5,17,8,220,o,#ff8000
60,t_bulb3800_dark00\20230510_221701.jpg,5,#D9633E,7,182,217,#DBD9D5,20,7,219,o,#ff8000
61,t_bulb3800_dark00\20230510_221653.jpg,9,#D25E3B,7,183,210,#DAD9D5,24,6,218,o,#ff8000
62,t_bulb3800_dark00\20230510_221739.jpg,4,#DB613E,7,183,219,#D9D6D3,15,7,217,o,#ff8000
63,t_bulb3800_dark00\20230510_221655.jpg,2,#E46840,7,183,228,#DBD9D6,18,6,219,o,#ff8000
64,t_bulb3800_dark00\20230510_221741.jpg,5,#D95F3C,7,184,217,#D8D7D3,24,6,216,o,#ff8000
65,t_bulb3800_dark00\20230510_221630.jpg,5,#DA643D,7,184,218,#DCD9D5,17,8,220,o,#ff8000
66,t_bulb3800_dark00\20230510_221632.jpg,7,#CD5938,7,185,205,#DBD9D4,21,8,219,o,#ff8000
67,t_bulb3800_dark00\20230510_221656.jpg,7,#CD5938,7,185,205,#DBD9D3,23,9,219,o,#ff8000
68,t_bulb3800_dark00\20230510_221622.jpg,8,#D05A39,7,185,208,#DAD9D5,24,6,218,o,#ff8000
69,t_bulb3800_dark00\20230510_221643.jpg,4,#DE623C,7,186,222,#DDD8D2,16,13,221,o,#ff8000
70,t_bulb3800_dark00\20230510_221747.jpg,8,#CE5B37,7,187,206,#D9D7D3,20,7,217,o,#ff8000
71,t_bulb3800_dark00\20230510_221643.jpg,9,#CF5837,7,187,207,#DDD8D2,16,13,221,o,#ff8000
72,t_bulb3800_dark00\20230510_221719.jpg,7,#D35D38,7,187,211,#DBD9D3,23,9,219,o,#ff8000
73,t_bulb3800_dark00\20230510_221709.jpg,7,#D25A36,7,189,210,#DCD9D3,20,10,220,o,#ff8000
74,t_bulb3800_dark00\20230510_221719.jpg,8,#D45935,7,191,212,#DBD9D3,23,9,219,o,#ff8000
75,t_bulb3800_dark00\20230510_221641.jpg,1,#E36D44,8,179,227,#DCD9D4,19,9,220,o,#ff8000
76,t_bulb3800_dark00\20230510_221632.jpg,3,#E46E44,8,179,228,#DBD9D4,21,8,219,o,#ff8000
77,t_bulb3800_dark00\20230510_221626.jpg,4,#DC6940,8,181,220,#DBD9D4,21,8,219,o,#ff8000
78,t_bulb3800_dark00\20230510_221645.jpg,2,#E26A42,8,181,226,#DBD9D5,20,7,219,o,#ff8000
79,t_bulb3800_dark00\20230510_221748.jpg,1,#E16B40,8,182,225,#DAD6D0,18,12,218,o,#ff8000
80,t_bulb3800_dark00\20230510_221719.jpg,5,#D9643D,8,183,217,#DBD9D3,23,9,219,o,#ff8000
81,t_bulb3800_dark00\20230510_221711.jpg,2,#E26940,8,183,226,#DCD9D4,19,9,220,o,#ff8000
82,t_bulb3800_dark00\20230510_221658.jpg,3,#E56B40,8,184,229,#DED8D0,17,16,222,o,#ff8000
83,t_bulb3800_dark00\20230510_221628.jpg,2,#E2693E,8,185,226,#DCD9D4,19,9,220,o,#ff8000
84,t_bulb3800_dark00\20230510_221656.jpg,1,#E46A3F,8,185,228,#DBD9D3,23,9,219,o,#ff8000
85,t_bulb3800_dark00\20230510_221643.jpg,6,#DD663C,8,186,221,#DDD8D2,16,13,221,o,#ff8000
86,t_bulb3800_dark00\20230510_221713.jpg,2,#E4693D,8,187,228,#DCD9D3,20,10,220,o,#ff8000
87,t_bulb3800_dark00\20230510_221630.jpg,2,#E5683D,8,187,229,#DCD9D5,17,8,220,o,#ff8000
88,t_bulb3800_dark00\20230510_221656.jpg,2,#E4693C,8,188,228,#DBD9D3,23,9,219,o,#ff8000
89,t_bulb3800_dark00\20230510_221656.jpg,8,#D15D35,8,190,209,#DBD9D3,23,9,219,o,#ff8000
90,t_bulb3800_dark00\20230510_221748.jpg,2,#E2663A,8,190,226,#DAD6D0,18,12,218,o,#ff8000
91,t_bulb3800_dark00\20230510_221715.jpg,9,#ACAF44,31,156,175,#DED8D2,15,14,222,y,#ffff00
92,t_bulb3800_dark00\20230510_221715.jpg,8,#AAAF3E,31,165,175,#DED8D2,15,14,222,y,#ffff00
93,t_bulb3800_dark00\20230510_221658.jpg,8,#A9AE37,31,174,174,#DED8D0,17,16,222,y,#ffff00
94,t_bulb3800_dark00\20230510_221638.jpg,1,#B8C054,32,143,192,#D9D9D3,30,7,217,y,#ffff00
95,t_bulb3800_dark00\20230510_221743.jpg,1,#B8BE53,32,144,190,#D8D7D3,24,6,216,y,#ffff00
96,t_bulb3800_dark00\20230510_221747.jpg,4,#B1B84E,32,147,184,#D9D7D3,20,7,217,y,#ffff00
97,t_bulb3800_dark00\20230510_221700.jpg,3,#BAC152,32,147,193,#DBD9D6,18,6,219,y,#ffff00
98,t_bulb3800_dark00\20230510_221630.jpg,6,#B3B94C,32,150,185,#DCD9D5,17,8,220,y,#ffff00
99,t_bulb3800_dark00\20230510_221715.jpg,2,#B8C04F,32,150,192,#DED8D2,15,14,222,y,#ffff00
100,t_bulb3800_dark00\20230510_221645.jpg,3,#BAC250,32,150,194,#DBD9D5,20,7,219,y,#ffff00
101,t_bulb3800_dark00\20230510_221655.jpg,9,#A9B048,32,151,176,#DBD9D6,18,6,219,y,#ffff00
102,t_bulb3800_dark00\20230510_221743.jpg,3,#B8C04E,32,151,192,#D8D7D3,24,6,216,y,#ffff00
103,t_bulb3800_dark00\20230510_221715.jpg,1,#B8C14F,32,151,193,#DED8D2,15,14,222,y,#ffff00
104,t_bulb3800_dark00\20230510_221655.jpg,3,#B9C24F,32,151,194,#DBD9D6,18,6,219,y,#ffff00
105,t_bulb3800_dark00\20230510_221709.jpg,4,#B4BA4B,32,152,186,#DCD9D3,20,10,220,y,#ffff00
106,t_bulb3800_dark00\20230510_221741.jpg,1,#B7BD4C,32,152,189,#D8D7D3,24,6,216,y,#ffff00
107,t_bulb3800_dark00\20230510_221641.jpg,2,#B7BF4D,32,152,191,#DCD9D4,19,9,220,y,#ffff00
108,t_bulb3800_dark00\20230510_221622.jpg,3,#B9C24E,32,152,194,#DAD9D5,24,6,218,y,#ffff00
109,t_bulb3800_dark00\20230510_221641.jpg,3,#BAC34F,32,152,195,#DCD9D4,19,9,220,y,#ffff00
110,t_bulb3800_dark00\20230510_221743.jpg,5,#B0B849,32,154,184,#D8D7D3,24,6,216,y,#ffff00
111,t_bulb3800_dark00\20230510_221655.jpg,5,#B1B949,32,154,185,#DBD9D6,18,6,219,y,#ffff00
112,t_bulb3800_dark00\20230510_221701.jpg,6,#B3BA4A,32,154,186,#DBD9D5,20,7,219,y,#ffff00
113,t_bulb3800_dark00\20230510_221743.jpg,2,#B6BD4B,32,154,189,#D8D7D3,24,6,216,y,#ffff00
114,t_bulb3800_dark00\20230510_221747.jpg,2,#B5BE4B,32,154,190,#D9D7D3,20,7,217,y,#ffff00
115,t_bulb3800_dark00\20230510_221653.jpg,8,#A5AD44,32,155,173,#DAD9D5,24,6,218,y,#ffff00
116,t_bulb3800_dark00\20230510_221639.jpg,2,#B7C04B,32,155,192,#DBD9D4,21,8,219,y,#ffff00
117,t_bulb3800_dark00\20230510_221626.jpg,7,#A8AE43,32,157,174,#DBD9D4,21,8,219,y,#ffff00
118,t_bulb3800_dark00\20230510_221630.jpg,9,#AAB043,32,158,176,#DCD9D5,17,8,220,y,#ffff00
119,t_bulb3800_dark00\20230510_221641.jpg,5,#B1BA47,32,158,186,#DCD9D4,19,9,220,y,#ffff00
120,t_bulb3800_dark00\20230510_221656.jpg,6,#B1BA47,32,158,186,#DBD9D3,23,9,219,y,#ffff00
121,t_bulb3800_dark00\20230510_221628.jpg,6,#B2BB47,32,158,187,#DCD9D4,19,9,220,y,#ffff00
122,t_bulb3800_dark00\20230510_221645.jpg,8,#A7AF42,32,159,175,#DBD9D5,20,7,219,y,#ffff00
123,t_bulb3800_dark00\20230510_221739.jpg,9,#A6AE41,32,160,174,#D9D6D3,15,7,217,y,#ffff00
124,t_bulb3800_dark00\20230510_221709.jpg,5,#B2B945,32,160,185,#DCD9D3,20,10,220,y,#ffff00
125,t_bulb3800_dark00\20230510_221630.jpg,1,#B8C148,32,160,193,#DCD9D5,17,8,220,y,#ffff00
126,t_bulb3800_dark00\20230510_221626.jpg,5,#B1B944,32,161,185,#DBD9D4,21,8,219,y,#ffff00
127,t_bulb3800_dark00\20230510_221647.jpg,2,#B7C047,32,161,192,#DCD9D5,17,8,220,y,#ffff00
128,t_bulb3800_dark00\20230510_221719.jpg,1,#B7C147,32,161,193,#DBD9D3,23,9,219,y,#ffff00
129,t_bulb3800_dark00\20230510_221638.jpg,9,#A7B040,32,162,176,#D9D9D3,30,7,217,y,#ffff00
130,t_bulb3800_dark00\20230510_221656.jpg,3,#B8C247,32,162,194,#DBD9D3,23,9,219,y,#ffff00
131,t_bulb3800_dark00\20230510_221632.jpg,2,#B6C045,32,163,192,#DBD9D4,21,8,219,y,#ffff00
132,t_bulb3800_dark00\20230510_221748.jpg,8,#A4AB3C,32,166,171,#DAD6D0,18,12,218,y,#ffff00
133,t_bulb3800_dark00\20230510_221709.jpg,8,#A8AE3C,32,167,174,#DCD9D3,20,10,220,y,#ffff00
134,t_bulb3800_dark00\20230510_221719.jpg,3,#B8C24B,33,156,194,#DBD9D3,23,9,219,y,#ffff00
135,t_bulb3800_dark00\20230510_221624.jpg,8,#A4AE41,33,160,174,#DAD9D5,24,6,218,y,#ffff00
136,t_bulb3800_dark00\20230510_221643.jpg,8,#017A2F,71,253,122,#DDD8D2,16,13,221,g,#00ff00
137,t_bulb3800_dark00\20230510_221739.jpg,8,#017831,72,253,120,#D9D6D3,15,7,217,g,#00ff00
138,t_bulb3800_dark00\20230510_221713.jpg,8,#01792F,72,253,121,#DCD9D3,20,10,220,g,#00ff00
139,t_bulb3800_dark00\20230510_221626.jpg,8,#017A30,72,253,122,#DBD9D4,21,8,219,g,#00ff00
140,t_bulb3800_dark00\20230510_221639.jpg,8,#017A32,72,253,122,#DBD9D4,21,8,219,g,#00ff00
141,t_bulb3800_dark00\20230510_221643.jpg,7,#017A31,72,253,122,#DDD8D2,16,13,221,g,#00ff00
142,t_bulb3800_dark00\20230510_221743.jpg,9,#017A33,72,253,122,#D8D7D3,24,6,216,g,#00ff00
143,t_bulb3800_dark00\20230510_221626.jpg,9,#017B32,72,253,123,#DBD9D4,21,8,219,g,#00ff00
144,t_bulb3800_dark00\20230510_221719.jpg,9,#017B33,72,253,123,#DBD9D3,23,9,219,g,#00ff00
145,t_bulb3800_dark00\20230510_221632.jpg,9,#017C34,72,253,124,#DBD9D4,21,8,219,g,#00ff00
146,t_bulb3800_dark00\20230510_221656.jpg,9,#017C32,72,253,124,#DBD9D3,23,9,219,g,#00ff00
147,t_bulb3800_dark00\20230510_221717.jpg,9,#017C34,72,253,124,#DBD9D5,20,7,219,g,#00ff00
148,t_bulb3800_dark00\20230510_221632.jpg,5,#018738,72,253,135,#DBD9D4,21,8,219,g,#00ff00
149,t_bulb3800_dark00\20230510_221739.jpg,7,#017834,73,253,120,#D9D6D3,15,7,217,g,#00ff00
150,t_bulb3800_dark00\20230510_221653.jpg,7,#017A36,73,253,122,#DAD9D5,24,6,218,g,#00ff00
151,t_bulb3800_dark00\20230510_221717.jpg,7,#017A36,73,253,122,#DBD9D5,20,7,219,g,#00ff00
152,t_bulb3800_dark00\20230510_221624.jpg,7,#017B35,73,253,123,#DAD9D5,24,6,218,g,#00ff00
153,t_bulb3800_dark00\20230510_221628.jpg,7,#017B34,73,253,123,#DCD9D4,19,9,220,g,#00ff00
154,t_bulb3800_dark00\20230510_221701.jpg,9,#017B34,73,253,123,#DBD9D5,20,7,219,g,#00ff00
